,MovieID,imdbId,tmdbId,title,release_year,original_language,genre,overview,production_companies,keywords,cast,director,poster_url
0,1,114709,862,Toy Story,1995,en,"['animation', 'adventure', ""children's"", 'family', 'comedy']","Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",['Pixar'],"['rescue', 'friendship', 'mission', 'jealousy', 'villain', 'bullying', 'elementary school', 'rivalry', 'anthropomorphism', 'friends', 'computer animation', 'buddy', 'walkie talkie', 'toy car', 'boy next door', 'new toy', 'neighborhood', 'toy comes to life', 'resourcefulness', 'toy', 'hilarious', 'cheerful', 'pixar']","['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf']",['John Lasseter'],https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
1,2,113497,8844,Jumanji,1995,en,"[""children's"", 'family', 'fantasy', 'adventure']","When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","['TriStar Pictures', 'Interscope Communications', 'Teitler Film', 'PolyGram Filmed Entertainment']","['giant insect', 'board game', 'disappearance', 'jungle', 'recluse', 'stampede', 'based on young adult novel', 'vibrant']","['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt', 'Jonathan Hyde', 'Bebe Neuwirth', 'David Alan Grier', 'Adam Hann-Byrd', 'Patricia Clarkson', 'Laura Bell Bundy']",['Joe Johnston'],https://image.tmdb.org/t/p/w500/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
2,3,113228,15602,Grumpier Old Men,1995,en,"['romance', 'comedy']","A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","['Lancaster Gate', 'Warner Bros. Pictures']","['fishing', 'sequel', 'old man', 'best friend', 'wedding', 'italian restaurant', 'old friends', 'duringcreditsstinger', 'pranks']","['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren', 'Daryl Hannah', 'Burgess Meredith', 'Kevin Pollak', 'Katie Sagona', 'Ann Morgan Guilbert', 'James Andelin']",['Howard Deutch'],https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
3,4,114885,31357,Waiting to Exhale,1995,en,"['romance', 'drama', 'comedy']","Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",['20th Century Fox'],"['based on novel or book', 'single mother', 'divorce', 'anxious', 'friendship between women', 'cautionary', 'adoring', 'celebratory', 'comforting', 'african american romance', 'african american friendship']","['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines', 'Dennis Haysbert', 'Mykelti Williamson', 'Michael Beach', 'Leon', 'Wendell Pierce']",['Forest Whitaker'],https://image.tmdb.org/t/p/w500/8MprEuTY3EwkF9nBBPCUyjRjvs5.jpg
4,5,113041,11862,Father of the Bride Part II,1995,en,"['family', 'comedy']","Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.","['Touchstone Pictures', 'Sandollar Productions']","['daughter', 'baby', 'parent child relationship', 'midlife crisis', 'pregnancy', 'confidence', 'aging', 'sequel', 'remake', 'los angeles, california', 'pregnant woman', 'contraception', 'gynecologist', 'pregnant']","['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley', 'George Newbern', 'Kieran Culkin', 'BD Wong', 'Peter Michael Goetz', 'Kate McGregor-Stewart', 'Jane Adams']",['Charles Shyer'],https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
5,6,113277,949,Heat,1995,en,"['crime', 'action', 'drama', 'thriller']",Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,"['Warner Bros. Pictures', 'Regency Enterprises', 'Forward Pass']","['robbery', 'chase', 'obsession', 'detective', 'heist', 'thief', 'honor', 'murder', 'betrayal', 'gang', 'los angeles, california', 'cat and mouse', 'bank robbery', 'criminal mastermind', 'cynical', 'ex-con', 'one last job', 'loner', 'bank job', 'neo-noir', 'crime epic', 'antagonistic', 'assertive', 'authoritarian', 'bold']","['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Wes Studi']",['Michael Mann'],https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
6,7,114319,11860,Sabrina,1995,en,"['romance', 'drama', 'comedy']","After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter Sabrina, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved with her.","['Paramount Pictures', 'Constellation Films', 'Mirage Enterprises', 'Scott Rudin Productions', 'Sandollar Productions', 'Worldwide Productions', 'Mont Blanc Entertainment GmbH']","['chauffeur', 'sibling relationship', 'paris, france', 'transformation', 'birthday party', 'family business ', 'long island, new york', 'playboy', 'teenage crush', 'millionaire', 'marriage engagement', 'high society', 'merger', 'impossible love', 'family disapproval', 'scheme', 'wealth differences', 'wealthy family', 'father daughter relationship', 'brother brother relationship', 'unlikely romance', 'romantic']","['Harrison Ford', 'Julia Ormond', 'Greg Kinnear', 'Nancy Marchand', 'John Wood', 'Richard Crenna', 'Angie Dickinson', 'Lauren Holly', 'Dana Ivey', 'Miriam Colon']",['Sydney Pollack'],https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg
7,8,112302,45325,Tom and Huck,1995,en,"['adventure', ""children's"", 'drama', 'family', 'action']","A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","['Walt Disney Pictures', 'Painted Fence Productions']","['based on novel or book', 'mississippi river', 'male friendship', 'restless youth', 'rural americana']","['Jonathan Taylor Thomas', 'Brad Renfro', 'Eric Schweig', 'Charles Rocket', 'Amy Wright', 'Michael McShane', 'Marian Seldes', 'Rachael Leigh Cook', 'Lanny Flaherty', 'Courtland Mead']",['Peter Hewitt'],https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg
8,9,114576,9091,Sudden Death,1995,en,"['crime', 'action', 'drama', 'thriller']",When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,"['Shattered Productions', 'Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']","['explosive', 'hostage', 'ice hockey', 'terrorism', 'vice president', 'pittsburgh, pennsylvania', 'pittsburgh penguins']","['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Whittni Wright', 'Ross Malinger', 'Dorian Harewood', 'Kate McNeil', 'Michael Gaston', 'Audra Lindley', 'Brian Delate']",['Peter Hyams'],https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
9,10,113189,710,GoldenEye,1995,en,"['action', 'thriller', 'adventure']","When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.",['EON Productions'],"['computer virus', 'cuba', 'falsely accused', 'secret intelligence service', 'secret identity', 'secret base', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg, russia', 'red army', 'james bond']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Robbie Coltrane', 'Tchéky Karyo', 'Gottfried John', 'Alan Cumming']",['Martin Campbell'],https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
